"Story","Title","Result","Date","Stability","Duration (s)"
"Entregar reto","Entregar reto de manera exitosa","SUCCESS","2023-04-27T13:29:09.33-05:00[America/Bogota]","0.0","2.26"
"Entregar reto","Intento de entregar reto con un id de curso y de aprendiz que no existe","SUCCESS","2023-04-27T13:29:11.628-05:00[America/Bogota]","0.0","3.08"
"Crear cuenta de usuario","Crear administrador exitoso","SUCCESS","2023-04-27T13:28:50.853-05:00[America/Bogota]","0.0","0.72"
"Crear cuenta de usuario","Crear aprendiz exitoso","SUCCESS","2023-04-27T13:28:51.619-05:00[America/Bogota]","0.0","0.72"
"Crear cuenta de usuario","Envio de datos para la creacion de usuario administrador vacios","SUCCESS","2023-04-27T13:28:52.376-05:00[America/Bogota]","0.0","2.21"
"Crear cuenta de usuario","Envio de datos para la creacion de usuario aprendiz vacios","SUCCESS","2023-04-27T13:28:54.626-05:00[America/Bogota]","0.0","2.27"
"Crear cuenta de usuario","Creacion usuarios admin con caracteres especiales y numericos en el nombre","SUCCESS","2023-04-27T13:28:56.941-05:00[America/Bogota]","0.0","3.86"
"Crear cuenta de usuario","Creacion usuarios aprendiz con caracteres especiales y numericos en el nombre","SUCCESS","2023-04-27T13:29:00.844-05:00[America/Bogota]","0.0","3.8"
"Crear cuenta de usuario","Crear administrador existente","SUCCESS","2023-04-27T13:29:04.673-05:00[America/Bogota]","0.0","0.71"
"Crear cuenta de usuario","Crear aprendiz existente","SUCCESS","2023-04-27T13:29:05.408-05:00[America/Bogota]","0.0","0.7"
"Crear cuenta de usuario","Crear administrador con correo de un aprendiz","SUCCESS","2023-04-27T13:29:06.135-05:00[America/Bogota]","0.0","0.75"
"Crear cuenta de usuario","Crear aprendiz con correo de un administrador","SUCCESS","2023-04-27T13:29:06.917-05:00[America/Bogota]","0.0","0.7"
"Crear cuenta de usuario","Crear admin con un correo invalido","SUCCESS","2023-04-27T13:29:07.652-05:00[America/Bogota]","0.0","0.69"
"Crear cuenta de usuario","Crear aprendiz con un correo invalido","SUCCESS","2023-04-27T13:29:08.374-05:00[America/Bogota]","0.0","0.73"
